company_num,Organization Name,Industry Groups,Industry_Index
4686,Stradling Yocca Carlson & Rauth,Professional Services,31
4691,Carr & Ferrell,Professional Services,31
4696,Settle-Now,Professional Services,31
4698,"McCalla Raymer Leibert Pierce, LLC",Professional Services,31
4701,"Wasserman, Jurista & Stolz",Professional Services,31
4714,Allen Matkins,Professional Services,31
4720,Osha Bergman Watanabe & Burton LLP,Professional Services,31
4732,Group Seven,Professional Services,31
4740,Womble Bond Dickinson,Professional Services,31
4748,Cardinal Intellectual Property,Professional Services,31
4751,Taft Stettinius & Hollister,Professional Services,31
4753,"Geoff McDonald & Associates, P.C.",Professional Services,31
4770,eLaw,Professional Services,31
4775,The Barnes Firm,Professional Services,31
4779,American Court Services,Professional Services,31
4787,Hughes Hubbard & Reed,Professional Services,31
4792,Mitchell Silberberg & Knupp,Professional Services,31
4795,"Matheau J. W. Stout, Esq.",Professional Services,31
4805,Faegre Baker Daniels,Professional Services,31
4807,Hanson Bridgett,Professional Services,31
4811,TheLaw.com,Professional Services,31
4812,Robins Kaplan,Professional Services,31
4820,Access Now,Professional Services,31
4822,Corporate Creations,Professional Services,31
4826,Concept Red,Professional Services,31
4837,Silicon Flatirons,Professional Services,31
4838,VLP Law Group,Professional Services,31
4839,CIP Reporting,Professional Services,31
4844,Porter Wright Morris & Arthur,Professional Services,31
4849,Parker Waichman LLP,Professional Services,31
4860,"Baron & Budd, P.C.",Professional Services,31
4866,"Darrow Law Firm, P.C.",Professional Services,31
4883,Nexus A.I.,Software,35
4900,CentralBOS,Software,35
4927,Computer Generated Solutions,Software,35
4930,Cube Six,Software,35
4964,Lascom,Software,35
4967,Naologic,Software,35
4978,Primavera Systems,Software,35
4981,Campfire Interactive,Software,35
4988,Fullscope,Software,35
4994,JD Edwards,Software,35
5040,IntuitiveTek,Software,35
5045,ProsperityERP,Software,35
5054,Numetrics Management Systems,Software,35
5055,Srisys Inc,Software,35
5057,PolyDyne Software,Software,35
5062,Tribute,Software,35
5068,AvSight,Software,35
5081,San Jose Systems,Software,35
5086,Advanced Software Designs,Software,35
5092,Client Profiles,Software,35
5103,Cloud 9 ERP Solutions,Software,35
5110,Maximum Computer Systems,Software,35
5113,Keystone Data Ltd,Software,35
5115,Bridgelogix,Software,35
5118,DM2 Software,Software,35
5122,eFoodERP,Software,35
5128,Pipeline Group,Software,35
5134,Harris ERP,Software,35
5145,e5 Solutions Group,Software,35
5172,LatamReady,Software,35
5174,Parallaksis,Software,35
5175,BRIX software,Software,35
5176,DigitalShipper,Software,35
5177,M3V Data Management,Software,35
5189,Kamptos Technologies Private,Software,35
5199,Fourth Shift,Software,35
5200,Princeton Payment,Software,35
5201,AS/AP Apparel Software,Software,35
5204,SAT Corporation,Software,35
6821,BetterUp,Education,13
6832,Chegg,Education,13
6854,DIY,Education,13
6945,Princeton University,Education,13
6974,Square Panda,Education,13
6983,CollegeVine,Education,13
6995,Tinkergarten,Education,13
6996,InstaEDU,Education,13
7154,Stellic,Education,13
7200,Studypool,Education,13
7259,Beereaders,Education,13
7273,SchoolHouse,Education,13
7291,Praxis,Education,13
7359,MajorClarity,Education,13
7363,Boddle,Education,13
7366,Capture Higher Ed,Education,13
7391,University of Oklahoma,Education,13
7393,Albert Einstein College of Medicine,Education,13
7394,Fusion Academy,Education,13
7463,Foundry College,Education,13
7466,Freckle Education,Education,13
7474,UniversityNow,Education,13
7509,OKpanda,Education,13
7558,Learn It Systems,Education,13
7575,Writable,Education,13
7586,LaiOffer,Education,13
7593,Adjacent Academies,Education,13
7617,CEA Study Abroad,Education,13
7636,Momentum Learning,Education,13
7640,Ravenna Solutions,Education,13
7641,Science Bits,Education,13
7653,Alelo,Education,13
7662,CREATE-X,Education,13
7684,ForgeNow,Education,13
7703,Legacy Education,Education,13
7704,Code Galaxy,Education,13
7716,Rutgers University–New Brunswick,Education,13
7749,Concourse Global,Education,13
7752,Colingo,Education,13
8784,Somatus,Health Care,21
8790,TransEnterix,Health Care,21
8801,Jaguar Health,Health Care,21
8826,Omada Health,Health Care,21
8830,LOOM,Health Care,21
8843,Simple Health,Health Care,21
8852,Boston Scientific,Health Care,21
8865,Oak Street Health,Health Care,21
8872,ImmunityBio,Health Care,21
8877,ConsejoSano,Health Care,21
8878,Bardy Diagnostics,Health Care,21
8883,Kit,Health Care,21
8884,Mindstrong,Health Care,21
8895,Elation Health,Health Care,21
8928,Neuron23,Health Care,21
8930,PathAI,Health Care,21
8938,AdaptHealth,Health Care,21
8947,DispatchHealth,Health Care,21
8952,VillageMD,Health Care,21
8953,Earlens Corporation,Health Care,21
8966,Parsley Health,Health Care,21
8969,Ready Responders,Health Care,21
8978,Tend,Health Care,21
8981,Capital Rx,Health Care,21
8988,Iora Health,Health Care,21
8992,Promaxo,Health Care,21
8994,Cue,Health Care,21
8996,SWORD Health,Health Care,21
8997,Thirty Madison,Health Care,21
9000,OncoLens,Health Care,21
9007,Visby Medical,Health Care,21
9008,Certintell,Health Care,21
9017,Veran Medical Technologies,Health Care,21
9020,4C Medical Technologies,Health Care,21
9040,Nuna Incorporated,Health Care,21
9044,NantHealth,Health Care,21
9049,Outset Medical,Health Care,21
9059,Pair Team,Health Care,21
9079,Digbi Health,Health Care,21
9086,Ilera Healthcare,Health Care,21
9087,Crossover Health,Health Care,21
9089,Inari Medical,Health Care,21
9094,AllStripes,Health Care,21
9111,NovoCure,Health Care,21
9130,Kate Farms,Health Care,21
9138,Xealth,Health Care,21
9144,DuPage Medical Group,Health Care,21
9159,Cricket Health,Health Care,21
9161,Exo,Health Care,21
9162,NOCD,Health Care,21
9179,Orthly,Health Care,21
9180,Verano Holdings,Health Care,21
9182,Pulmonx,Health Care,21
9187,XRHealth,Health Care,21
9189,RefleXion Medical,Health Care,21
9191,Sprout Therapy,Health Care,21
9194,Noctrix Health,Health Care,21
9202,Brightline,Health Care,21
9205,Ciitizen,Health Care,21
9209,Intuity Medical,Health Care,21
9213,Everside Health,Health Care,21
9214,Wellthy,Health Care,21
9221,Tomorrow Health,Health Care,21
9225,Progyny,Health Care,21
9229,Orca Bio,Health Care,21
9230,Meru Health,Health Care,21
9247,Bristol Hospice,Health Care,21
9248,Mount Sinai Health System,Health Care,21
9258,Spyglass Ophthalmics,Health Care,21
9264,Alignment Healthcare,Health Care,21
9271,EndoGastric Solutions,Health Care,21
9278,RapidAI,Health Care,21
9279,Sesame,Health Care,21
9297,Radiology Partners,Health Care,21
9302,Practice Fusion,Health Care,21
9305,Shockwave Medical,Health Care,21
9317,Landmark Health,Health Care,21
9325,Alphaeon,Health Care,21
9332,NovuHealth,Health Care,21
9342,Medocity,Health Care,21
9344,GIBLIB,Health Care,21
9350,Firefly Health,Health Care,21
9352,Octave,Health Care,21
9370,Omcare,Health Care,21
9387,The Ayurveda Experience,Health Care,21
9393,54gene,Health Care,21
9410,Biotheranostics,Health Care,21
9417,Ajax Health,Health Care,21
9421,Emboline,Health Care,21
9432,1upHealth,Health Care,21
9458,Cecelia Health,Health Care,21
9462,Gynesonics,Health Care,21
9468,Abridge,Health Care,21
9482,Story Health,Health Care,21
9490,Ciox Health,Health Care,21
9500,Kinaset Therapeutics,Health Care,21
9501,Recovery Centers of America,Health Care,21
9506,Ontrak,Health Care,21
9511,Uniform Teeth,Health Care,21
9514,Folia Health,Health Care,21
9516,Calibrate,Health Care,21
9534,SteadyMD,Health Care,21
9541,Navigating Cancer,Health Care,21
9548,Allurion Technologies,Health Care,21
9550,TransMedics,Health Care,21
9554,Contessa,Health Care,21
9561,Truvian Sciences,Health Care,21
9564,Bodyport,Health Care,21
9577,HealthPartners,Health Care,21
9581,Lightship,Health Care,21
9582,Tasso,Health Care,21
9589,Tambua Health,Health Care,21
9590,Diality,Health Care,21
9592,axialHealthcare,Health Care,21
9598,HistoSonics,Health Care,21
11885,Upside.com,Travel and Tourism,39
11893,Collective Retreats,Travel and Tourism,39
11898,"Cuddlynest, Inc",Travel and Tourism,39
11907,FinalPrice,Travel and Tourism,39
11931,Voyista,Travel and Tourism,39
11935,Funjet Vacations,Travel and Tourism,39
11940,TravelCLICK,Travel and Tourism,39
11942,Tiny Urban Escapes,Travel and Tourism,39
11943,HopJump,Travel and Tourism,39
11947,Trū Adventure Travel,Travel and Tourism,39
11959,MyFlightSearch,Travel and Tourism,39
11963,"Anywhere, Inc.",Travel and Tourism,39
11964,PodShare,Travel and Tourism,39
11965,Ascape,Travel and Tourism,39
11982,Beach.com,Travel and Tourism,39
11983,BootsnAll Travel Network,Travel and Tourism,39
11984,FlightsChannel,Travel and Tourism,39
11987,Pack Up + Go,Travel and Tourism,39
11988,trekaroo,Travel and Tourism,39
11989,Panraven,Travel and Tourism,39
11995,TWAI,Travel and Tourism,39
11997,MirCorp,Travel and Tourism,39
12001,Travel Agent Magazine,Travel and Tourism,39
12003,VaccationTravel,Travel and Tourism,39
12013,BookOtrip INC,Travel and Tourism,39
12015,Luna Moons,Travel and Tourism,39
12019,Starboard Cruise Services,Travel and Tourism,39
12031,Taj Travel,Travel and Tourism,39
12034,Cheapflightsfreak,Travel and Tourism,39
12035,TrustFares,Travel and Tourism,39
12042,RSVP Productions,Travel and Tourism,39
12044,Tripfocal,Travel and Tourism,39
12046,MAST Travel Network,Travel and Tourism,39
12049,Own The Trip,Travel and Tourism,39
12052,Cendant Corp.,Travel and Tourism,39
12056,AwardEx,Travel and Tourism,39
12057,Certifyd Stay,Travel and Tourism,39
12059,Gateway Travel Management,Travel and Tourism,39
12061,Flight Layaway,Travel and Tourism,39
12063,Airbeas Travel,Travel and Tourism,39
12064,Myght,Travel and Tourism,39
12065,Montrose Travel,Travel and Tourism,39
12068,Travelhive,Travel and Tourism,39
12069,Cali Quests,Travel and Tourism,39
12070,Avia International Travel,Travel and Tourism,39
12071,Adventure and Leisure Travel Experts,Travel and Tourism,39
12073,Ahlulbayt Travels,Travel and Tourism,39
12074,Camp Sonshine,Travel and Tourism,39
12077,Capri Hospitality,Travel and Tourism,39
12080,Elite Rewards Group,Travel and Tourism,39
12084,Sanditz Travel,Travel and Tourism,39
12085,Paris Luxury Tours,Travel and Tourism,39
12088,Flyopedia,Travel and Tourism,39
12090,Vezpuchi,Travel and Tourism,39
12094,"Heart of the Village Inn, Modern Vermont Bed & Breakfast, Shelburne, VT",Travel and Tourism,39
12100,Going Places Travel Center,Travel and Tourism,39
12103,TRAVEL with EASe services inc.,Travel and Tourism,39
12105,Travel World Inc,Travel and Tourism,39
12107,Smartlinetravels,Travel and Tourism,39
12108,Travel Visa Pro Fort Worth,Travel and Tourism,39
12109,Clarkston Travel Bureau,Travel and Tourism,39
12111,look at Egypt tours,Travel and Tourism,39
12113,Piedmont Travel,Travel and Tourism,39
12115,MYrago,Travel and Tourism,39
12116,Travel Visa Pro San Jose,Travel and Tourism,39
12119,TheBigDay,Travel and Tourism,39
12122,Club EVI,Travel and Tourism,39
12126,Travolti,Travel and Tourism,39
12128,MeetOnCruise,Travel and Tourism,39
14701,Salted,Food and Beverage,17
14703,Humm Kombucha,Food and Beverage,17
14750,Cone & Steiner,Food and Beverage,17
14753,Southeastern Grocers,Food and Beverage,17
14754,QuikTrip,Food and Beverage,17
14758,Lotus Scoop,Food and Beverage,17
14789,Save Mart Supermarkets,Food and Beverage,17
14815,PDQ Food Stores,Food and Beverage,17
14816,Firebrand Artisan Breads,Food and Beverage,17
14817,Open Pantry Food Marts,Food and Beverage,17
14825,Let's Be Chefs,Food and Beverage,17
14834,Clark's Market Sedona,Food and Beverage,17
14844,Kuehls Midwest Distributors,Food and Beverage,17
14845,Brennan's Market,Food and Beverage,17
14846,ChoiceMart,Food and Beverage,17
14849,"Freddie's Market, Inc.",Food and Beverage,17
14850,Blue Hill Co-op,Food and Beverage,17
14853,Silverton Food Co-op,Food and Beverage,17
14855,Savors Of Europe,Food and Beverage,17
14856,Chevron Food Mart,Food and Beverage,17
14857,Bravo Supermarket,Food and Beverage,17
14859,River Market Community Co-op,Food and Beverage,17
14860,Scott's Yankee Farmer,Food and Beverage,17
14861,The Qwic Store,Food and Beverage,17
14862,Broadway Market,Food and Beverage,17
14863,Santos Deli Grocery,Food and Beverage,17
14864,Al Rahman Market International,Food and Beverage,17
14866,L.P. Shanks Company,Food and Beverage,17
15164,"1 Stop Driver Improvement Clinic, LLC",Transportation,38
15168,1st Choice Auto Sales,Transportation,38
15169,20/20 Auto Glass Spartanburg,Transportation,38
15170,24 Hr Towing,Transportation,38
15172,3 Kings Automotive,Transportation,38
15174,3A Auto Repair,Transportation,38
15182,5 Guys Transportation,Transportation,38
15186,A & A Auto Recycling,Transportation,38
15187,A 1 COLLISION NY & AUTO CARE,Transportation,38
15190,A&P Auto Parts,Transportation,38
15193,A-1 Automatic Transmission Service,Transportation,38
15194,A-Hessco Roadside Assistance & Towing Innovations,Transportation,38
15196,A-Reliable Auto Parts,Transportation,38
15204,AA Foreign Auto Parts Online,Transportation,38
15206,AAA Auto Sales,Transportation,38
15208,AAALogistics LLC AAAMotortransport,Transportation,38
15212,ABBA Towing & Roadside Service,Transportation,38
15214,Able 2 Towing,Transportation,38
15216,Abra Auto Body & Glass,Transportation,38
15223,Accurate Auto & Tire Services,Transportation,38
15229,Acertus,Transportation,38
15238,Acura Automobiles,Transportation,38
15240,ADCO Products,Transportation,38
15241,Addictive Desert Designs,Transportation,38
15247,Adient plc,Transportation,38
15250,Advanced Auto Service & Tire Centers,Transportation,38
15251,Advanced Autoshipping,Transportation,38
15270,Affordable Auto Glass,Transportation,38
15279,AGM Hobby,Transportation,38
15289,AirClenz LLC,Transportation,38
15292,Airport Motor Mile,Transportation,38
15308,Alcohol Detection Services Of Alaska,Transportation,38
15311,Alert/Divert Systems,Transportation,38
15313,Alkol,Transportation,38
15316,All Around Town Towing,Transportation,38
15318,All My Sons Moving & Storage,Transportation,38
15319,All PRO Exhaust and General Repair,Transportation,38
15320,All Vegas Auto Glass,Transportation,38
15321,"All-Fit Automotive, LLC",Transportation,38
15324,Allen-Jensen,Transportation,38
15327,Allied Transportation,Transportation,38
15329,Allison Transmission Holdings,Transportation,38
15330,Allomatic,Transportation,38
15332,Allrite Towing,Transportation,38
15334,Allstate Transmission And Auto Repair,Transportation,38
15335,Allways Towing,Transportation,38
15337,Alma Chevrolet Buick GMC,Transportation,38
15338,Alog Corporation,Transportation,38
15339,Aloha Family,Transportation,38
15340,Alpha Automobile Sales,Transportation,38
15342,Alpine Body Shop,Transportation,38
15344,ALTe Technologies,Transportation,38
15352,Amati Auto Group,Transportation,38
15359,American Auto Shield,Transportation,38
15360,American Auto Transport INC,Transportation,38
15363,American Center for Mobility,Transportation,38
15364,American Driveline Systems,Transportation,38
15365,American Driving Records,Transportation,38
15366,American Federal Auto,Transportation,38
15368,American Global Logistics,Transportation,38
15371,American Leasing Corporation,Transportation,38
15374,American Rail Engineers,Transportation,38
15375,American RV,Transportation,38
15376,American Tire Distributors,Transportation,38
15377,American Trailer Works,Transportation,38
15378,American Trim,Transportation,38
15387,AMS Vans,Transportation,38
15392,Anaheim Mitsubishi,Transportation,38
15395,Ann Arbor Infiniti,Transportation,38
15399,Antioch Chrysler Jeep Dodge,Transportation,38
15402,AP Auto Spa,Transportation,38
15404,Apache Oil Company,Transportation,38
15406,APC Automotive Technologies,Transportation,38
15408,APL Logistics,Transportation,38
15412,Apple Auto Transports,Transportation,38
15417,ARBOC Specialty Vehicles,Transportation,38
15423,Arend Auto,Transportation,38
15426,ARI Fleet,Transportation,38
15428,Arizona Interlock,Transportation,38
15429,Arlington Mobile Steam Car Detailing,Transportation,38
15433,Arrigo Auto Group,Transportation,38
15444,ASF Intermodal,Transportation,38
15445,ASI,Transportation,38
15449,Assured Self Storage,Transportation,38
15451,Astro Electroplating,Transportation,38
15453,ATD Corporation,Transportation,38
15454,Atech Logistics,Transportation,38
15470,Audi Fort Worth,Transportation,38
15474,Aurora Parts & Accessories,Transportation,38
15475,Aurum Glass,Transportation,38
15476,Austin Motor Mile Collision,Transportation,38
15493,Auto Light Pros,Transportation,38
15495,Auto Paint Masters,Transportation,38
15496,Auto Palace,Transportation,38
15500,Auto Restoration Russia,Transportation,38
15503,Auto Shipping America,Transportation,38
15504,Auto Shipping Chicago,Transportation,38
15505,Auto Shipping Quotes,Transportation,38
15509,Auto Systems Experts,Transportation,38
15511,Auto Traders International LTD,Transportation,38
15513,AUTO TRANSPORT CARRIERS,Transportation,38
15514,Auto Transport Cricket,Transportation,38
15516,Auto Warranty One,Transportation,38
15517,Auto Wrap Shop,Transportation,38
15518,Auto/Mate Dealership Systems,Transportation,38
15524,Autoblog,Transportation,38
15528,"AutoCareBids, Inc.",Transportation,38
15532,Autoevolution,Transportation,38
15538,AutoInq,Transportation,38
15540,AutoInsureSavings,Transportation,38
15542,Autoland Toyota,Transportation,38
15544,Autolog,Transportation,38
15547,AutoMaster,Transportation,38
15549,Automated Parking Corp.,Transportation,38
15555,AutoMedic,Transportation,38
15557,Automobile Protection,Transportation,38
15558,Automotive Aftermarket Suppliers Association,Transportation,38
15562,Automotive Development Group,Transportation,38
15563,Automotive Digest,Transportation,38
15564,Automotive Distribution Network,Transportation,38
15568,Automotive Information Systems,Transportation,38
15573,Automotive Touch Up Reviews,Transportation,38
15581,Autopart International,Transportation,38
15586,AutoRepairKey.com,Transportation,38
15588,AutoRidge,Transportation,38
15589,Autos,Transportation,38
15593,Autosmith Car Company,Transportation,38
15600,AutoSport USA,Transportation,38
15603,Autotalky,Transportation,38
15606,AutoUnite,Transportation,38
15612,Autoz World,Transportation,38
15625,AVTOMATE,Transportation,38
15626,Avus Auto Sport,Transportation,38
15633,Axonne,Transportation,38
15634,AZ Auto Aesthetics,Transportation,38
15635,AZ Auto Parts LLC,Transportation,38
15636,"AZ Towing, Inc",Transportation,38
15643,B. Wild's Auto Sales & Service,Transportation,38
15644,B2BUV,Transportation,38
15647,BabbaCo,Transportation,38
15650,Backstage Limousine,Transportation,38
15655,Balco Industries,Transportation,38
15656,Baltic Motors Corporation,Transportation,38
15658,Bandag,Transportation,38
15662,Bare Labor,Transportation,38
15666,Barrett Trucks,Transportation,38
15667,"Barton Freightliner, Inc .",Transportation,38
15669,Battlefield Automotive,Transportation,38
15674,Bayshore Chrysler Jeep Dodge Ram,Transportation,38
15680,Beck Motors,Transportation,38
15684,Bell Dodge,Transportation,38
15686,Bell Union Auto Service,Transportation,38
15687,Bennington Ford,Transportation,38
15695,"Best Tires of Raleigh, Inc.",Transportation,38
15700,BestRest Products,Transportation,38
15702,Betten Baker Group,Transportation,38
15704,Better Life Mobility,Transportation,38
15710,Bill Stasek Chevrolet,Transportation,38
15711,Bill's Towing,Transportation,38
15714,Bintelli Electric Vehicles,Transportation,38
15715,Birdnow Dealerships,Transportation,38
15721,BKK Transport,Transportation,38
15722,Black Crown Car Service,Transportation,38
15734,Bluewater Thermal,Transportation,38
15735,BMW of North America,Transportation,38
15739,Bob's Transmissions,Transportation,38
15741,Body Kits Depot Inc.,Transportation,38
15742,Bodymaster Auto Parts,Transportation,38
15743,Bogo,Transportation,38
15745,Bollinger Motors,Transportation,38
15756,Bose Corporation - Active Motion Control Business,Transportation,38
15759,BP Midstream Partners,Transportation,38
15760,Brake Kingdom,Transportation,38
15761,Brake Masters,Transportation,38
15768,Brauns Automotive,Transportation,38
15769,Braxton's Dealer Services,Transportation,38
15771,BrightLot,Transportation,38
15775,Britt's 24 Hour Mobile Truck & Trailer Services,Transportation,38
15776,Bronco Hut,Transportation,38
15777,Brown and Meyer Enterprises,Transportation,38
15778,Brown's Car Stores,Transportation,38
15779,Buckley's 24 Hour Towing,Transportation,38
15781,BullRing,Transportation,38
15787,Butch's Hubcaps,Transportation,38
15791,BWP Distributors,Transportation,38
15797,CAI International,Transportation,38
15816,Canoo,Transportation,38
15820,Capitol Hill Exxon,Transportation,38
15821,Capitol Investment Corp IV,Transportation,38
15826,Car Care Tow Pro,Transportation,38
15827,Car Choice,Transportation,38
15828,Car Credit Nation,Transportation,38
15830,Car Demons,Transportation,38
15840,Car Steering Inc,Transportation,38
15844,Car Transportation Services,Transportation,38
15845,Car Wars Towing & Transport,Transportation,38
15852,Carbase,Transportation,38
15857,CarBuyWhiz,Transportation,38
15859,CarCaddy,Transportation,38
15861,CarCharging,Transportation,38
15865,Carcopia,Transportation,38
15894,Carlisle Motors,Transportation,38
15903,Carmel Car & Limousine,Transportation,38
15906,Carolina Truck Specialist,Transportation,38
15912,Carquest,Transportation,38
15918,CARS Protection Plus,Transportation,38
15931,Cartech Inc.,Transportation,38
15941,CarZing,Transportation,38
15944,Carzuz,Transportation,38
15946,Cash 4 Cars Orange County,Transportation,38
15947,Cash Your Junk Car Chicago,Transportation,38
15955,CEI Fleet Driver Management,Transportation,38
15956,Celadon Group,Transportation,38
15958,Cen-Tex Towing,Transportation,38
15959,Cenntro,Transportation,38
15960,Center for Auto Safety,Transportation,38
15961,Center for Automotive Research,Transportation,38
15963,Ceres Global AG,Transportation,38
15972,Champion Trailers,Transportation,38
15973,Champion Truck Lines,Transportation,38
15976,"Chappelle's Towing, LLC",Transportation,38
15977,"Chassix, Inc.",Transportation,38
15981,Cherry Park Automotive,Transportation,38
15982,Chevrolet,Transportation,38
15985,Chicago Autohaus,Transportation,38
15990,China Auto Logistics,Transportation,38
15992,ChoicePoint,Transportation,38
15997,Chuck's Transmission Service,Transportation,38
16008,CK Auto Exclusive,Transportation,38
16014,Clarkstown International Collision,Transportation,38
16015,Class 8 Parts,Transportation,38
16017,Classic Auto Services LLC,Transportation,38
16044,Coastal Bend Car Wash,Transportation,38
16055,"Collision Concepts, Inc.",Transportation,38
16057,CollisionRight,Transportation,38
16059,Color Recon,Transportation,38
16060,Colorback Body Shop,Transportation,38
16065,Commonwealth Inc.,Transportation,38
16070,Compass Transport,Transportation,38
16071,Competition Cams,Transportation,38
16089,ConsolidatedAutoSales,Transportation,38
16092,"Contemporary Classic Cars, Inc.",Transportation,38
16108,Axonics Modulation Technologies,Health Care,21
16118,Cyrano Therapeutics,Health Care,21
16119,Baebies,Health Care,21
16120,GT Medical Technologies,Health Care,21
16122,Imperative Care,Health Care,21
16125,Carestream,Health Care,21
16131,Scanwell Health,Health Care,21
16133,Silk Road Medical,Health Care,21
16134,Envision Healthcare,Health Care,21
16141,ConforMIS,Health Care,21
16142,Zipline Medical,Health Care,21
16144,Alveo Technologies,Health Care,21
16145,Velano Vascular,Health Care,21
16151,Broncus Technologies,Health Care,21
16152,Podimetrics,Health Care,21
16164,Clarify Medical,Health Care,21
16168,QuVa Pharma,Health Care,21
16169,Genetesis,Health Care,21
16170,NanoVibronix,Health Care,21
16174,Day Zero Diagnostics,Health Care,21
16177,electroCore,Health Care,21
16180,Avedro,Health Care,21
16195,Onkos Surgical,Health Care,21
16197,Polares Medical,Health Care,21
16199,Monteris Medical,Health Care,21
16201,OrthoFX,Health Care,21
16202,Stasis Labs,Health Care,21
16203,Pathology Watch,Health Care,21
16209,Sientra,Health Care,21
