Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
TITAN School Solutions,https://www.crunchbase.com/organization/titan-school-solutions,https://www.titank12.com,"Education, Information Technology, Software","Education, Information Technology, Software",TITAN School Solutions is a school nutrition software and services provider to K-12 school districts.,"TITAN School Solutions is a school nutrition software and services provider to K-12 school districts. The company bringing state-of-the-art efficiencies and real-time transparency to school foodservice. TITAN founders are school information technology veterans. They created scalable and affordable, web-based management solutions to help districts and schools like yours succeed and remain focused more on education and less on administration. TITAN offers an entirely Software as a Service (SaaS) cloud-based platform. It performs all maintenance, upgrades, and backups to be expected with an enterprise platform. They support Google Chrome, Microsoft Edge, and Apple’s Safari on all supported operating systems such as Windows, OS X, and Android.",https://www.linkedin.com/company/titan-school-solutions/,,https://twitter.com/titank12,https://www.facebook.com/titank12/
Titan Consulting,https://www.crunchbase.com/organization/titan-consulting,https://www.titanconsulting.net/,"Consulting, Delivery, Human Resources, Information Technology, Management Consulting, Software, Training","Administrative Services, Education, Information Technology, Professional Services, Software",Titan Consulting offer professional services focused on SAP solutions with industry-specific experience.,"At Titan Consulting they offer professional services focused on SAP solutions with industry-specific experience. Their clients hire them to do more than just configure SAP, but to share Best Practices that optimize your business processes. Their consultants work with your teams to ensure the smooth transfer of critical knowledge in your firm. They offer a comprehensive network of some of the most experienced SAP professionals around. Their experts have proven records for getting jobs done faster and right the first time. They are large enough to offer a broad range of talent and expertise, yet flexible enough to accommodate a wide range of special requests. They can tailor the job to ensure measurable deliverables based on time and budget. Whether managing a full project, augmenting staff, or providing day-to-day support, they are able to be the “right fit” for companies of all sizes.",https://www.linkedin.com/company/titan-consulting/,,https://twitter.com/titansap,https://www.facebook.com/SAPtitanconsulting/
Tiro,https://www.crunchbase.com/organization/tiro-450b,http://www.tirotest.org,"Education, Information Technology, SaaS","Education, Information Technology, Software","Edtech, Assessment","Tiro is a web-based tool to create, deploy, and analyze tests to better focus classroom education and evaluate the quality of classroom assessments. Tiro empowers everyday educators by democratizing the sciences and tools used by large-scale, high-stakes testing companies. In providing a simple analogy for perspective, Tiro leverages the most attractive features of Survey Monkey and Google Analytics in a single tool designed for education and assessment. Tiro makes assessment development, deployment and analysis available to the average person in the same way that Survey Monkey supported large-scale survey development and deployment and Google Analytics provided data for businesses to make valid decisions.",https://www.linkedin.com/company/tirotest,,,https://www.facebook.com/tirotest/
Tipzyy,https://www.crunchbase.com/organization/tipzyy,,"Education, Food and Beverage, Mobile Apps, Restaurants, Software","Apps, Education, Food and Beverage, Mobile, Software","Mobile Software, Hospitality, Food and Beverage, Education",Tipzyy is a mobile application for the hospitality industry that rewards and incentivizes staff education and performance.,https://www.linkedin.com/company/tipzyy/,,,
Tipitap,https://www.crunchbase.com/organization/tipitap,http://www.tipitap.com,"Apps, Art, EdTech, Education","Apps, Education, Media and Entertainment, Software",Tipitap is an early education specialist for a touchscreen world.,"Tipitap is an early education specialist for a touchscreen world. An industry veteran, that has been creating award-winning apps for children since the launch of the App Store. Tipitap's many successes in creating innovative products stem from understanding the needs of young children, parents, and teachers.",http://www.linkedin.com/company/tipitap,,http://twitter.com/mytipitap,http://www.facebook.com/Tipitap
Tinyhood,https://www.crunchbase.com/organization/tinyhood-inc,https://www.tinyhood.com,"Apps, Education, Parenting","Apps, Community and Lifestyle, Education, Software","Tinyhood offers online courses, one-on-one consultations, and moderated communities.","Tinyhood offers online courses, one-on-one consultations, and moderated communities. It was founded by two moms, engineers with an ability and passion to create something truly good.",https://www.linkedin.com/company/tinyhood/,,,https://www.facebook.com/tinyhood
Tinybop,https://www.crunchbase.com/organization/tinybop,http://tinybop.com,"Apps, Education, iOS, Software","Apps, Education, Mobile, Platforms, Software",Tinybop builds a suite of educational iOS apps for kids.,"Tinybop is an award-winning studio of designers, developers, and artists building a suite of educational iOS apps for kids. They strive to create immersive games that encourage exploration and creativity. They believe in the power of learning through play, experimentation, and inquiry.",https://www.linkedin.com/company/tinybop-inc-,,http://twitter.com/tinybop,http://www.facebook.com/tinybop
Tintash,https://www.crunchbase.com/organization/tintash,https://www.tintash.com,"Android, Apps, Education, iOS, Mobile, Social Media, Software, Web Development","Apps, Education, Internet Services, Media and Entertainment, Mobile, Platforms, Software",Casual & Mobile Game Development Studio,"Tintash has developed games for some of the best Game Publishers and Developers in the world. Our clients include Digital Chocolate, Playfirst, Sandlot Games, iWin, iPlay, HalfBrick Studios, and StickSports to name a few. Apart from Games we also develop Apps and have worked with Storytree, Bitzer Mobile, OneSchool, DropLearn, Immersion and many others.",http://www.linkedin.com/company/tintash,,http://twitter.com/tintash,https://www.facebook.com/Tintash/
"Timezpot, Inc.",https://www.crunchbase.com/organization/timezpot-inc,http://www.timezpot.com,"Apps, Education, Local, Mobile, Social Media Management","Apps, Education, Internet Services, Mobile, Sales and Marketing, Software","Timezpot creates powerful tools to build, share, and preserve history.","Timezpot, Inc. is passionate about creating the world's most powerful tools for capturing, preserving, and sharing history; this includes their primary product, Zpotten, which is a platform that allows users to build, preserve, and share living timelines of events that are important to them by using a map and a time control system.",http://www.linkedin.com/company/timezpot,,http://twitter.com/timezpot,http://www.facebook.com/TimezpotInc
Time2Talk,https://www.crunchbase.com/organization/time2talk,https://time2talk.app,"E-Learning, Education, Internet, Language Learning, Social Network, Software","Education, Internet Services, Software",Language learning mobile app,"Time2Talk is a mobile app that connects Spanish learning students in the US with native Spanish speakers in Latin America on-demand.  Time2Talk is designed to improve speaking skills while promoting cultural exchange, language fluency and professional growth throughout the Americas.",https://www.linkedin.com/company/time2talkapp/,,,https://www.facebook.com/time2talkapp/
Timbuktu Labs,https://www.crunchbase.com/organization/timbuktu-labs,http://www.timbuktu.me,"Apps, Education, iOS, Parenting, Publishing, Toys","Apps, Community and Lifestyle, Consumer Goods, Content and Publishing, Education, Media and Entertainment, Mobile, Platforms, Software","Timbuktu Labs develops an educational application that enables children to play games, read news, and view beautiful pictures.",Timbuktu makes mobile toys for creative learning. We promote imagination as a tool to discover the world. All our products are designed in Milan and developed in San Francisco. We are part of 500startups. We won Best Design at LAUNCH Education and Kids 2012. We've been nominated 2012 Best Italian Startup. We've been featured several times by Apple in the US Top5 Education.,https://www.linkedin.com/company/timbuktu-labs,,http://twitter.com/TimbuktuMag,http://www.facebook.com/timbuktumagazine
Tilton Technology,https://www.crunchbase.com/organization/tilton-technology,http://stuckonalgebra.com,"Collaboration, EdTech, Education, Software","Education, Other, Software",Educational math software developer,"Tilton Technology publishes expert-system powered math tutoring software that is able to work alongside the student step-by-step on randomly generated problems or any problem the student enters that is within the software's scope. The software also offers a forum in which teachers and students can collaborate, using a WYSIWYG maths editor to facilitate exchange of specific expressions. First offered in 1987 for Macintosh and then PC desktop computers, the software has now been delivered as a Web application. The new Web version includes a so-called ""Mission-mode"" in which students work unaided up a tree of Algebra skills, with new Missions becoming available as the student masters each mission. The initial title covers the basics of Algebra and will soon be extended to cover the bulk of the conventional Algebra I curriculum.",,,http://twitter.com/tiltonsalgebra,
Tilde,https://www.crunchbase.com/organization/tilde,http://www.tilde.io,"Consulting, Open Source, Software, Training, Web Development","Education, Professional Services, Software","Tilde is an open-source focused startup in Portland, and the company behind Skylight, your favorite Rails Performance tool. Also, Ember.js.","Tilde is an open-source focused startup in Portland, and the company behind Skylight, your favorite Rails Performance tool. We're led by alumni and current leaders of projects like Ruby on Rails, jQuery, and Ember. We also provide Ember.js training and consulting services while contributing back by building and maintaining the vibrant open source communities we love.",https://www.linkedin.com/company/2621841/,,http://twitter.com/tildeio,https://www.facebook.com/tildeinc
Tiggly,https://www.crunchbase.com/organization/tiggly,http://tiggly.com,"Apps, Education, Hardware, Software, Toys","Apps, Consumer Goods, Education, Hardware, Software",Tiggly develops physical toys that interact with learning apps on iPads and other tablets.,"Tiggly develops physical toys for children 18M-7Y that interact with learning apps on iPads and other tablets. It builds all of its products from the first principles of learning and aims to create the ideal learning environment for early childhood by combining the educational benefits of classic, physical play with the learning potential and fun of modern digital tools.  Tiggly's debut physical product, Tiggly Shapes, was released in October 2013. Tiggly Shapes and corresponding apps (Tiggly Draw, Tiggly Safari, Tiggly Stamp) have won 8 awards.  Its founding team includes a Ph.D. in early childhood development from Columbia University and two Harvard MBAs.",http://www.linkedin.com/company/tiggly,,http://twitter.com/TigglyKids,http://www.facebook.com/Tiggly
Tigerway Prep Strategies,https://www.crunchbase.com/organization/tigerway-prep-strategies,http://www.tigerwayprep.com,"Consulting, E-Learning, Education","Education, Professional Services, Software",Digital Learning and premier in-person and online coaching in English and Mathematics,Digital Learning | SAT Strategy Consulting,https://www.linkedin.com/in/larrycheung/,,,https://www.facebook.com/tigerwayprep/
Tickle,https://www.crunchbase.com/organization/tickle-2,http://www.tickleapp.com/,"Apps, Education, Gaming, iOS, Video Games","Apps, Education, Gaming, Mobile, Platforms, Software",Learn to Code to make iPhone+iPad Apps and Games.,"Tickle brings the world's most popular visual programming language, Scratch, to the iPad, and adds powerful capabilities. With Tickle, anyone can learn to create amazing games and interactive stories on iPad, and program real-world objects.  Your support will help make Tickle freely accessible to everyone, and broaden programming education.",https://www.linkedin.com/company/tickle-labs-inc-/,,https://www.twitter.com/tickleapp,https://www.facebook.com/tickleipadapp
TickerHound,https://www.crunchbase.com/organization/tickerhound,http://www.tickerhound.com,"Developer Tools, Education, Finance, Stock Exchanges","Education, Financial Services, Lending and Investments, Software",TickerHound is a personal finance and investing education platform -- picture Yahoo Answers for finance.,"TickerHound is a personal finance and investing education platform -- picture Yahoo Answers for finance.  The company's goal is to create platform where individual investors can quickly get answers to all of their finance and investing questions. Users can come to the site and freely search the Q&A database, when they want to ask a question of their own, they register and submit their question which is then sent out to the rest of the TickerHound community.  Members earn points and build their reputation on the site by answering questions; the better their answers, the more points they earn. On top of the Q&A engine, TickerHound also provides access to an investing and finance dictionary, over 600 educational articles and a stock look-up and charting service.  The service is free to use for all members.",,,,
Thrivist,https://www.crunchbase.com/organization/thrivist,http://thrivist.com,"Analytics, E-Learning, Education","Data and Analytics, Education, Software",Thrivist is a learning & analytics platform for K-12 that enables schools to personalize learning and to make better decisions based data.,"A learning management system like no other. Learners will enjoy the next gen experience and administrators will be blown away by Thrivist LMS's reporting capabilities.Data gives you the power to make decisions. Imagine a single repository full of granular, interoperable learning data generated during learning activities. This scenario allows admins, teachers and parents to use data to draw conclusions and make decisions to better outcomes, with the ability to take your historical data with you. Thrivist's open, yet highly secure Learning Record Store makes moving your data free and easy.",https://www.linkedin.com/company/thrivist,,https://twitter.com/thrivist_edu,https://www.facebook.com/Thrivist-893465757331812/timeline/
Thriver,https://www.crunchbase.com/organization/thriver,https://www.thriver.com,"Children, E-Learning, Education","Community and Lifestyle, Education, Software",Thriver is an innovative learning platform and parent resource that helps parents understand how their children learn.,"Thriver is an innovative learning platform and parent resource that helps parents understand how their children learn, and identifies cognitive strengths and weaknesses while helping kids improve over time. Thriver is based in San Francisco, California.",,,https://www.twitter.com/thriverca,https://www.facebook.com/thriverca
Thrive Global,https://www.crunchbase.com/organization/thrive-global,https://www.thriveglobal.com/,"Apps, Corporate Training, Personal Health, Productivity Tools, Software, Wellness","Apps, Education, Health Care, Software",Thrive Global is a corporate and consumer well-­being and productivity platform that offers science-based solutions to improve performance.,"Founded and led by Arianna Huffington, Thrive Global is a corporate and consumer well­-being and productivity platform aimed at changing the way we work and live. Thrive Global's mission is to end the epidemic of stress and burnout by offering companies and individuals sustainable, science-based solutions to enhance both well-being and performance. Thrive Global's three interconnected core components are: corporate trainings and workshops that bring the latest strategies and tools around health and well-being to organizations; a media platform that serves as the global hub for the conversation about well-being and performance, with an emphasis on action; and an e-commerce platform that offers a curated selection of the best technology and products for well-being.  Together, the three components create an integrated platform that empowers people to make sustainable changes to their daily lives, going from knowing what to do to actually doing it. Thrive Global is committed to accelerating the culture shift that allows people to reclaim their lives and move from surviving to thriving.",https://www.linkedin.com/company/thrive-global/,,https://twitter.com/thrive,https://www.facebook.com/thriveglbl
Three Ring,https://www.crunchbase.com/organization/three-ring,,"EdTech, Education, Software","Education, Software",Three Ring is a platform that makes it easy to digitize student work and use it effectively for many educational purposes.,"Three Ring is a provider of enterprise education software for the organization, sharing, and use of multimedia evidence of student growth. It enables students and teachers to seamlessly gather real evidence of learning from the classroom and make it available, privately, and securely online, to whoever needs it.",https://www.linkedin.com/company/three-ring/,,,
Three O Four Productions inc.,https://www.crunchbase.com/organization/three-o-four-productions-inc,https://www.threeofourproductions.com,"Education, Virtual Reality","Education, Hardware, Software","We are Three O Four Productions, and we want to bring new virtual reality technologies into the world of specialized training. ","We are Three O Four Productions, and we want to bring new virtual reality technologies into the world of specialized training. Our president, Nolan Hutwelker, is currently a data analyst at EarthRes Engineering, where he assists safety supervisors and production foremen in managing environmental, health and safety risks on-site, throughout the Appalachian region. Our vice president, Russell Short, is a native West Virginian who has seen the effect of poor training in these high risk industries and the impact it leaves on the community and state as a whole. He is proficient in multiple programming languages and has a passion for graphics and interactive software.   We came across the following over and over and over. Current safety training was ineffective and the people that needed it the most just didn't do it. The current training methods just didn't work. And to top it off, this was REALLY important safety training. The kind that keeps a person alive in high risk scenarios. And sadly, people die because of this. All the time.   Why train people if your training is not fully effective? How can we improve current training methods?   Our solution to these issues is to use Virtual Reality (VR) to develop customized training programs that people will be excited for, something that makes people use their bodies, voice, and brain. Studies show that this will cut their learning curve in half. So no longer will training be in a classroom, pamphlet, or on a high risk job site. ​ Everyone fears headlines like these:   “Man dies on well site, apparently from H2S: 20-year-old found dead over open cover of crude tank” “One by one, 3 utility workers descended into a manhole. One by one, they died.” “3 workers die in underground pipeline”   You can be the reason 3 people go home safe to their families! You can be the reason why a child won’t go fatherless due to a safety disaster! You can be the reason the industry has a cultural shift!    Working with us will help improve safety training and will help eliminate these headlines. If you help us today YOU can be a part of a brand new wave of safety training. Gone are the days of sitting in front of a computer going through a mundane and outdated training program.",https://www.linkedin.com/company/three-o-four-productions,,,https://www.facebook.com/304productions
ThreatReady Resources,https://www.crunchbase.com/organization/threatready-resources,https://www.threatreadyresources.com,"Cyber Security, E-Learning, Information Technology, Security","Education, Information Technology, Privacy and Security, Software",ThreatReady Resources focus on making people care about cyber threats.,ThreatReady Resources inspires people to build a culture of cyberawareness and assists companies in creating a human firewall as an effective first line of defense against cyber attacks. They focus on making people care about cyber threats. They think it’s the first step in lasting behavior change. They live in a digital world surrounded by infinite information and they’ve all become experts at screening it out. That’s why they use techniques from advertising and advanced learning to develop quick-hit campaigns that respect your employees’ time and intelligence while providing valuable information.,https://www.linkedin.com/company/threat-ready-resources/,,https://twitter.com/threat_ready,https://www.facebook.com/ThreatReadyResources
Thread Learning,https://www.crunchbase.com/organization/thread-learning,http://threadlearning.com,"E-Learning, Education","Education, Software",Bringing autism education into the digital age,"Thread Learning is a platform for electronic data collection, analysis and coordinated care. Teachers save hours each week in hated paperwork. Managers save hours a day in training and quality assurance. Parents receive automatic updates on their child’s progress and schools get help meeting IEP regulatory requirements. Students benefit most of all through expanded access to cutting edge curriculum, improved teaching and coordinated care. Thread Learning's platform makes it easy to save time, save money and improve student outcomes. Thread is simple enough to learn in 20 minutes and flexible enough to fit your organization like a glove. Not only is our customer support second to none, but the Thread engineering team can build new product features for customers within a week.",,,https://www.twitter.com/threadlearning,https://www.facebook.com/threadlearning
Thoughtstream Consulting,https://www.crunchbase.com/organization/thoughtstream-consulting,http://www.thoughtstreamconsulting.com,"Big Data, Business Intelligence, Consulting, Finance, Software, Training","Data and Analytics, Education, Financial Services, Professional Services, Software","Thoughtstream Consulting, Inc. is a leading business consulting and software solutions firm specializing in various Business Intelligence,","Thoughtstream Consulting, Inc. is a leading business consulting and software solutions firm specializing in various Business Intelligence, Financial Consolidation and Planning applications to help companies with their financial analysis needs. With having provided services to Fortune 500 companies as well as those in the small/midsize sector, we understand the financial challenges facing companies today. With every engagement, we work directly with our clients decision makers to ease the financial and management processes. By understanding our client's business and technological requirements, our consultants utilize their implementation experience to provide the customer with an immediate and effective business solution. Here at Thoughtstream, we provide our clients with the ability to make intuitive decisions regarding our products to allow significant increases in the efficency and accuracy of their financial processes.",http://www.linkedin.com/company/thoughtstream-consulting,,http://twitter.com/ThoughtstreamUS,http://www.facebook.com/ThoughtstreamConsultingInc
ThoughtSTEM,https://www.crunchbase.com/organization/thoughtstem,http://www.thoughtstem.com/,"E-Learning, Education, Video Games","Education, Gaming, Software",ThoughtSTEM teaches students around the world coding through e-learning technologies that integrate video games.,"ThoughtSTEM is an e-learning institute that specializes in computer science education and coding programs for children.the company pair the technologies, such as Scratch, Arduino, Minecraft, and App Inventor, with their proven project-based curriculum to offer IT-based courses for children under the age of 12. ThoughtSTEM was founded by Stephen Foster, Ph.D., Dr. Sarah Esper, and Lindsey Handley in 2012; and is located in San Diego, California.",https://www.linkedin.com/in/s_r_foster,,https://twitter.com/ThoughtSTEM,https://www.facebook.com/ThoughtStem
thoughtbot,https://www.crunchbase.com/organization/thoughtbot,http://thoughtbot.com,"Consulting, Software, Training, Web Design, Web Development","Design, Education, Professional Services, Software",thoughtbot is a consulting firm that makes web and mobile apps for early stage startups.,"thoughtbot is a software design & engineering consultancy. They have JavaScript, Ruby, Python, Go, Elixir, iOS, and Android capabilities. They run product design sprints and maintain popular open source software projects such as Paperclip, Factory Girl, Laptop, and Bourbon.",,,http://twitter.com/thoughtbot,
Thought Industries,https://www.crunchbase.com/organization/thought-industries,http://www.thoughtindustries.com/,"E-Learning, Education, Information Technology, Internet, Software","Education, Information Technology, Internet Services, Software","Thought Industries' cloud-based Online Learning Platform helps deliver education, training and information for B2B and B2C organizations.","Thought Industries powers the business of learning by providing the world’s leading B2B customer training platform. The company was founded in 2014 around the core belief that online learning experiences should be modern, intuitive, engaging, and scalable. Today, our team builds and maintains the only learning solution with completely native tools and integrations that drive higher engagement, learner proficiency, and retention rates for our customers. Headquartered in Boston, Thought Industries has offices across North America and Europe. For more information, visit thoughtindustries.com and follow us on LinkedIn and Twitter.",https://www.linkedin.com/company/thought-industries,,https://twitter.com/thoughtind,https://www.facebook.com/thoughtindustries
Thompson publishing group,https://www.crunchbase.com/organization/thompson-publishing-group,https://www.thompson.com/,"Database, Information Services, Training","Data and Analytics, Education, Information Technology, Software","Thompson publishing group is an information service provider company that focuses mainly on compliance resources, training, online database.","Thompson publishing group is an information service provider company that focuses mainly on compliance resources, training, online databases, and customized data delivery. Thompson publishing group provides compliance information, training, and in-depth data across a range of subject areas federal grants, government contracting, FDA, energy, and financial services.",https://www.linkedin.com/in/thompson-publishing-92879a27/,,,
Thngs Co.,https://www.crunchbase.com/organization/thngs-co-,http://www.thngs.co,"3D Printing, Association, Education, Market Research, Presentations, Recreation","Data and Analytics, Design, Education, Manufacturing, Other, Software, Sports",Thngs is an online service for the storage of all objects in digital form.,"Thngs is an online service for the storage of all objects in digital form. An innovative technology made to preserve things, a unique research tool, and recreation source. It is a safe place, where objective data is being stored with permanent public access to it. A common melting pot of knowledge anyone can operate with for discovering, learning about, and collecting things. Attached information and media along with files for 3D printing, schemes, instructions or assembly guides will provide a possibility for recreation of things — transformation from digital form back in physical.",,,http://twitter.com/ThngsCo,https://www.facebook.com/thngs
thinkXML,https://www.crunchbase.com/organization/thinkxml,http://www.thinkxml.com/,"E-Commerce, Software, Training","Commerce and Shopping, Education, Software","standards-based, open technology software solutions for business-to-consumer (B2C) and business-to-business (B2B) integration.","thinkXML, Inc., incorporated on February 11, 2000, is a privately held, rapidly growing e-commerce software development firm based in Rockville, Maryland.  thinkXML is the outgrowth of a leading-edge R&D and consulting firm founded in 1995 to develop large-scale, database-intensive Web sites. With its launch in mid-February, thinkXML became a member of a small cadre of leading provider of standards-based, open technology software solutions for business-to-consumer (B2C) and business-to-business (B2B) integration.  thinkXML currently provides a complete line of XML dynamic business transaction software tools, training, customer support and professional consulting services for its growing customer base. thinkXML's e-commerce tools rapidly create complex, highly scalable and maintainable B2B systems, seamlessly integrating diverse front ends with diverse backends using XML technology.",,,,
Thinkwell,https://www.crunchbase.com/organization/thinkwell,http://www.thinkwell.com,"EdTech, Education, Software, Video, Video Streaming","Content and Publishing, Education, Media and Entertainment, Software, Video",Thinkwell creates and publishes educational multimedia based on streaming video and Flash technologies.,"Thinkwell creates and publishes educational multimedia based on streaming video and Flash technologies.  Thinkwell products primarily target higher education in math and science, including Pre-Algebra through Calculus, Biology, Chemistry and Physics.  Additional offerings include titles in Economics, Public Speaking and American Government.  Products include web-based review questions and course management tools. Thinkwell products are used by gifted children, homeschool students, high school students, college students, and lifelong learners.  Approximately 100,000 people per year use Thinkwell videos featuring world-class professors to master complex subjects like Calculus and Physics.",,,https://www.twitter.com/thinkwell,
Thinkster Math,https://www.crunchbase.com/organization/tabtor,http://hellothinkster.com/,"Artificial Intelligence, E-Learning, EdTech, Education","Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software",Thinkster is a math learning program that is guided by Expert Coaches and Powered by AI.,"Thinkster is a tablet-based math learning program that combines world-class curriculum with personalization from real, experienced teachers and groundbreaking artificial intelligence.",https://www.linkedin.com/company-beta/2202613/,,https://twitter.com/hellothinkster,https://www.facebook.com/ThinksterMath/?fref=ts
ThinkOptimal,https://www.crunchbase.com/organization/thinkoptimal,http://thinkoptimal.com,"Career Planning, College Recruiting, Developer APIs, EdTech, Education, Employment, SaaS, Software","Administrative Services, Education, Professional Services, Software",ThinkOptimal is a job resource company helping students and career centers to build career applications.,"ThinkOptimal is the premier provider of innovative career technology solutions for organizations and individuals. We develop diverse career applications that elevate job readiness skills, enhance professional development services, streamline human capital management, and improve results. Our award-winning career technology has been nationally recognized for its outstanding design, ease of use, and robust performance. We strive to deliver career solutions that help our clients work smarter and thrive in an extremely competitive, resources-challenged environment. Our passionate commitment to each customer’s success drives our business, guides our product roadmap, and inspires our leadership. Since 2005, we’ve helped more than 700 organizations and 2.5 million individuals save time and resources, grow their brand, and achieve career success. Contact us today to discuss how we can help you reach your career goals. Operating through OptimalResume and MyOptimalCareer, ThinkOptimal is the registered corporate trademark of OptimalResume.com, Inc.",,,,
ThinkHR,https://www.crunchbase.com/organization/thinkhr,http://www.thinkhr.com,"Cloud Computing, Corporate Training, Human Resources","Administrative Services, Education, Internet Services, Software",ThinkHR offers human expertise and technology to provide companies with HR compliance and best practices advice. ,"ThinkHR is the leader in integrated HR solutions that leverage trusted knowledge, human expertise and innovative technology designed to help companies rapidly deploy HR best practices across their organizations. Our cloud-based technology platform provides first-class online training to ensure compliance, reduce risk, and drive employee engagement, while keeping up to date with ever-changing federal and state requirements to help companies stay ahead of the competition.  ThinkHR solutions include online employee training, handbook and toolkit generation, live expert advice from a team of HR experts, and a comprehensive resource library of user-friendly compliance information created to save organizations time and money, including free webinars, guides and checklists. Backed by leading investment firms, ThinkHR is headquartered in Pleasanton, Calif. For more information, visit thinkhr.com or follow @RealThinkHR on Twitter. ",http://www.linkedin.com/company/thinkhr,,http://twitter.com/RealThinkHR,https://www.facebook.com/RealThinkHR/
Thinkgate,https://www.crunchbase.com/organization/thinkgate,http://thinkgate.com,"EdTech, Education, Software","Education, Software","K-12 education technology solutions -- instructional improvement system, assessment, curriculum & instruction, educator effectiveness","Thinkgate provides the latest in education technology within the K-12 industry. Our unique selling point is met through the Thinkgate Technology Platform, a single interactive dashboard that ties an agency's existing education technologies together with our products and fully customizable solutions. Educators and administrators can now access all of their information, from assessment & reporting data to curriculum maps & lesson plans, through our app-like interface through a single-sign on. We make it easier to deliver vital information to our customers more effectively and efficiently.",http://www.linkedin.com/company/thinkgate-llc,,http://twitter.com/thinkgate,http://www.facebook.com/thinkgate
Thinkful,https://www.crunchbase.com/organization/thinkful,http://www.thinkful.com,"E-Learning, EdTech, Education, Software Engineering, Web Development","Education, Science and Engineering, Software",Thinkful provides 1-on-1 learning with industry experts to bring high growth tech careers to their students.,"Thinkful provides 1-on-1 learning through its network of industry experts, hiring partners, and online platform to deliver a structured and flexible education. It offers programs in web development and data science, with in-person communities in up-and-coming tech hubs around the U.S. Thinkful is founded in 2012.",https://www.linkedin.com/company/thinkful,,http://twitter.com/thinkful,https://www.facebook.com/thinkful/
ThinkCERCA,https://www.crunchbase.com/organization/thinkcerca,http://www.thinkcerca.com,"EdTech, Education","Education, Software",To ensure equitable access to 21st opportunities for all learners.,"ThinkCERCA’s personalized literacy platform helps educators teach critical thinking skills through argumentative writing. With students and teachers using its platform in all 50 states and 130 countries, the company has partnered with prominent leaders in education, including Follett Corporation, and has been featured by The Atlantic and EdSurge. A 2016 SIAA CODiE Awards finalist in the Best Learning Capacity-Building Solution and Best Reading/English/Language Arts Instructional Solution categories, ThinkCERCA has also been named one of the best tools in ed tech by Common Sense’s Graphite. In July 2013, ThinkCERCA was the recipient of a Bill & Melinda Gates Foundation Literacy Courseware Challenge grant, and in December 2012, graduated from the inaugural class of Impact Engine’s social impact accelerator. To learn more, please visit ThinkCERCA.com",http://www.linkedin.com/company/thinkcerca-com,,http://twitter.com/thinkcerca,http://www.facebook.com/thinkcerca
ThinkBinder,https://www.crunchbase.com/organization/thinkbinder,http://thinkbinder.com,"Education, Mobile Apps, Real Time","Apps, Education, Mobile, Other, Software",ThinkBinder is an app for real-time collaboration for sharing the ideas with peers.,"ThinkBinder, an online collaboration tool intended for student project teams.",https://www.linkedin.com/company/echo360-inc-,,http://twitter.com/ThinkBinder,http://www.facebook.com/thinkbinder
ThinkBIG.LearnSmart,https://www.crunchbase.com/organization/thinkbig-learnsmart,http://www.thinkbiglearnsmart.com,"EdTech, Education, Web Development","Education, Software",Adobe Authorized Training Center,"ThinkBIG is an Adobe Authorized training center offering Adobe, Apple, Articulate, Web Development and eLearning classes. All classes are available at our location in Columbia, MD, at a client's location privately, or virtually online live. ThinkBIG also specializes in eLearning and Web/Mobile development projects.  ThinkB!G focuses on educating multimedia career professionals and developing technology Trainers through offering Comptia Certified Technology Trainer (CTT+) training program. We help organizations build the skills of their workforce. With Certification being critical to validating skills, ThinkB!G only uses Certified Instructors and Official Curriculum offered by technology vendors.  With a passion to assist organizations in implementing a learning strategy to increase the knowledge of workforce professionals, ThinkBIGLearnSmart works with executive management to design training solutions that scale training worldwide that is also measurable. ThinkBIGLearnSmart has served clients such as Department of Defense, U.S. Department of Agriculture, NASA, Johns Hopkins, SSA Social Security Administration, University of Maryland, Howard Community College, UnderArmour, Mid-Atlantic Sports Network, Legg Mason, 1st Mariner Bank, Maxim Health and many others.",http://www.linkedin.com/company/think-big-learn-smart,,http://twitter.com/thinkbigmd,http://www.facebook.com/ThinkBigLearnSmart
Thinkamingo,https://www.crunchbase.com/organization/thinkamingo,http://thinkamingo.com,"Education, Software","Education, Software",Thinkamingo Inc is an independent studio developing family-friendly and educational applications for mobiles.They have created Story Dic,Thinkamingo Inc is an independent studio developing family-friendly and educational applications for mobiles.They have created Story Dic,http://www.linkedin.com/company/2789930,,http://twitter.com/Thinkamingo,http://www.facebook.com/thinkamingo
Think Native,https://www.crunchbase.com/organization/think-native,https://www.thinknative.com/,"E-Learning, Education, Hospital, Information Technology, Non Profit, Peer to Peer, SaaS, Software, Universities","Education, Health Care, Information Technology, Other, Software",SaaS,Think Native provides peer support and mentoring communities a software solution to measure and scale their virtual relationships. From the video intake form and smart-matching algorithm to the learning management system and communication tools; the platform enables measurable human flourishing.,https://www.linkedin.com/company/40722029/admin/,,https://twitter.com/thinknativetech?lang=en,https://www.facebook.com/THINKNATIVEtech/
