Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Zenoti,https://www.crunchbase.com/organization/zenoti,http://www.zenoti.com,"Billing, Cloud Data Services, CRM, Enterprise Software, Marketing, Point of Sale, SaaS, Scheduling, Software","Commerce and Shopping, Information Technology, Internet Services, Payments, Sales and Marketing, Software",Zenoti is a provider of cloud-based software for the spa and salon industries.,"Zenoti provides an all-in-one, cloud-based software solution for the spa, salon, and med spa industries. The system supports large spa, salon, med-spa, and fitness chains with the tools to expand the network while increasing unit-level performance. In addition to being a true enterprise solution for this industry, it also supports small ad medium-sized businesses. The all-in-one system helps clients grow and manage operations. The company enables users to manage every aspect of a business in a comprehensive mobile solution with online appointment bookings, POS, CRM, employee management, inventory management, built-in marketing programs, and more. It helps clients streamline systems and decrease costs while enhancing customer retention, and spending. Zenoti was founded in 2010 and is headquartered in Bellevue, Washington.",https://www.linkedin.com/company/zenoti,Unicorn,https://twitter.com/gozenoti,https://www.facebook.com/gozenoti/,"2,772"
ShopKeep,https://www.crunchbase.com/organization/shopkeep-com,http://www.shopkeep.com,"Cloud Computing, Enterprise Software, Point of Sale, Retail, SaaS, Software","Commerce and Shopping, Internet Services, Software",ShopKeep® is a cloud-based iPad point of sale system for restaurants and retail stores.,"Everything ShopKeep does supports growing and independent businesses. Built by and for small business owners, ShopKeep provides an intuitive, secure, iPad point-of-sale system with POS software that empowers merchants to run smarter businesses by optimizing staffing, managing inventory and accessing real time sales reports and customer information on one seamless, cloud-based platform. With more than 25,000 customers, ShopKeep’s award-winning customer care team is available to help 24/7 and provides a robust support network for growing business owners. ShopKeep is headquartered in New York City, with offices in Portland (OR), Chicago (IL), and Belfast (NIR).",http://www.linkedin.com/company/shopkeep-pos,,http://twitter.com/shopkeep,http://www.facebook.com/ShopKeepPOS,"3,390"
Omnivore,https://www.crunchbase.com/organization/positronics-io,http://www.omnivore.io,"Apps, Delivery, Developer APIs, Developer Tools, Mobile Payments, Point of Sale, Reservations, Restaurants","Administrative Services, Apps, Commerce and Shopping, Events, Financial Services, Food and Beverage, Media and Entertainment, Mobile, Payments, Software",Omnivore offers a point-of-sale integration API allowing uniform access to the POS systems.,"Omnivore offers a point-of-sale integration API allowing uniform access to the POS systems. It allows restaurant brands to digitize their guest and operational experience in a meaningful and sustainable way. It delivers an end-to-end suite of solutions built on data and insights that help optimize the essential elements of the digital restaurant experience; online ordering, pay at the table, 3rd party delivery, kiosk/digital menu, reservations, loyalty, inventory, labor, and analytics.  Omnivore was founded in December 2013 and is based in Hayward, California.",https://www.linkedin.com/company/omnivore-io,,https://www.twitter.com/omnivoreio,https://www.facebook.com/omnivore.io/,"4,012"
Flowhub,https://www.crunchbase.com/organization/flowhub,http://flowhub.com,"Business Intelligence, Cannabis, Enterprise, Internet, Point of Sale, Retail Technology, SaaS, Small and Medium Businesses, Software","Commerce and Shopping, Community and Lifestyle, Data and Analytics, Food and Beverage, Hardware, Health Care, Internet Services, Other, Software",Flowhub is a cannabis retail management platform for modern dispensaries.,"Flowhub is a cannabis retail software company that helps modern dispensaries thrive by delivering compliance, point of sale, inventory tracking, and business intelligence data from a single, highly-customizable platform. With first-to-market mobile check-in and inventory management applications, Flowhub processes over one billion dollars in cannabis sales annually, and empowers more than 700 cannabis retailers and their partners to grow revenue, simplify compliance, speed checkouts and manage inventory for improved consumer experiences. Flowhub is a privately held company headquartered in Denver.",https://www.linkedin.com/company/flowhub,,https://twitter.com/flowhubco,https://www.facebook.com/flowhubco,"5,473"
AutoFi,https://www.crunchbase.com/organization/autofi,http://www.autofi.com/,"Automotive, Financial Services, Point of Sale","Commerce and Shopping, Financial Services, Transportation",AutoFi is a commerce platform delivering point of sale solution for financing a vehicle online.,"AutoFi is a commerce platform delivering point of sale solution for financing a vehicle online. The platform allows consumers to purchase and finance a vehicle entirely online through a seamless user experience and an automated application and approval process. The company's platform connects an auto dealer’s customers to a network of lenders, providing a fast, mobile-first checkout experience. It provides vehicle buyers instant full spectrum decisions with customizable terms.",https://www.linkedin.com/company/autofi/,,https://twitter.com/autofi_inc,https://www.facebook.com/pg/GetAutoFi/,"7,494"
Treez,https://www.crunchbase.com/organization/treez,http://treez.io,"Cannabis, Point of Sale, Retail Technology, Software","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Hardware, Health Care, Software",Leading cannabis seed to sale software platform,"Treez is an enterprise software platform solution company for retailers in the cannabis space. It aims to optimize and automate cannabis dispensary operations, creating a cooperative ecosystem that allows operators to continually improve every aspect of their business, from employee management, to inventory control, to patient hospitality. By automatically enforcing best practices across the platform and collecting valuable data from every corner of the business, Treez offers something wholly unique to operators, large and small.",https://www.linkedin.com/company/10783136?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10783136%2Cidx%3A2-1-2%2CtarId%3A1478212306511%2Ctas%3ATreez,,https://twitter.com/TreezForMe,https://www.facebook.com/Treezio-1100311213392656/,"7,703"
MyTime,https://www.crunchbase.com/organization/mytime,http://www.mytime.com,"Apps, E-Commerce, Local Business, Marketing Automation, Mobile, Point of Sale, Scheduling","Apps, Commerce and Shopping, Information Technology, Mobile, Sales and Marketing, Software","MyTime powers online scheduling, automated marketing and point of sale for mid-market and enterprise service retailers.","MyTime is a fully integrated appointment scheduling, point-of-sale and customer engagement platform for multi-location chains and franchises. It’s built to be modular, but it really shines when the various components work together to maximize revenue by reaching customers wherever they are at the moment they are ready to transact. Our award-winning online booking experience can be integrated into your website and mobile apps, as well as Google Search and Google Maps, Bing, Facebook, and Instagram, thereby enabling your customers to find, book, and transact with you from anyplace they engage with your brand. Our automated marketing system increases client retention and visit frequency. And we automate the many tedious, manual operational tasks so you can focus on your service and your customers. Find out what it means to integrate scheduling, marketing and payments into a single, easy-to-use platform and why MyTime won Best Local Commerce Service of 2017 from the Local Search Association and has been featured by both Apple and Google as “Best New App” in their respective App Stores. Our cloud-based platform is scalable, secure, and ready for any size deployment.",http://www.linkedin.com/company/mytime,,http://twitter.com/mytime,http://www.facebook.com/MyTime,"10,166"
LendingUSA,https://www.crunchbase.com/organization/lendingusa,http://www.LendingUSA.com,"Credit, Finance, Financial Services, FinTech, Payments, Personal Finance, Point of Sale","Commerce and Shopping, Financial Services, Lending and Investments, Payments",Provides Point-of-Sale merchant financing solutions serving specialty niche markets.,"LendingUSA's mission is to provide smart financing solutions at the important moments in life.  Thought it's Point-of-Sale (POS) platform, LendingUSA offers financing solutions for merchants and their customers serving such specialty markets including elective medical, dental, pets, tax, funeral, and more. LendingUSA is committed to provide the best point-of-need consumer financing experience available, using a proprietary lending solution that leverages both traditional and next-generation underwriting and fraud detection techniques to pre-approve loans as quickly as a few seconds. LendingUSA works closely with its merchant partners, providing the tools and training they need to easily and efficiently maximize customer financing approvals and grow their business.",https://www.linkedin.com/company/lendingusa,,https://twitter.com/LendingUSA,https://www.facebook.com/lendingusa,"10,281"
CloudWalk,https://www.crunchbase.com/organization/cloudwalk,https://www.cloudwalk.io/,"Credit Cards, Point of Sale, Virtual Currency","Commerce and Shopping, Financial Services, Lending and Investments, Payments, Software",Next-Generation Merchant Acquirer,"CloudWalk is a fintech startup specialized in innovative payment services, with technology in its core. CloudWalk is democratizing the payments industry in Brazil, by empowering entrepreneurs through technological, inclusive, and life-changing solutions.",https://www.linkedin.com/company/cloudwalkinc/,,https://twitter.com/cloudwalk,https://www.facebook.com/CloudWalkUS/,"11,829"
MagicCube,https://www.crunchbase.com/organization/magiccube-inc,http://www.magiccube.co,"Credit Cards, Cyber Security, Internet of Things, Mobile Payments, Payments, Point of Sale, Software, Transaction Processing","Commerce and Shopping, Financial Services, Information Technology, Internet Services, Lending and Investments, Mobile, Payments, Privacy and Security, Software","MagicCube is a security platform for mobile and IoT devices, delivering hardware-grade protection without the complexity and constraints.",MagicCube is the Software Defined Trust (SDT) category with its software TEE-based platform. The technology enables large-scale deployment and management of IoT and mobile- secure solutions to consumers.,https://www.linkedin.com/company/magiccube,,https://twitter.com/MagiC3inc,,"11,912"
Sleek,https://www.crunchbase.com/organization/sleek-54ed,https://sleektext.com/,"Artificial Intelligence, Concerts, Internet, Machine Learning, Mobile Payments, Point of Sale, Software, Sports","Artificial Intelligence, Commerce and Shopping, Data and Analytics, Events, Financial Services, Internet Services, Media and Entertainment, Mobile, Payments, Science and Engineering, Software, Sports",We're a deep learning startup that cracks the code on wait times by fusing various different data sources.,"We're a deep learning startup that cracks the code on wait times by fusing various different data sources. Our patent-pending AI technology draws on deep learning to provide virtual queuing solutions —saving customers the inconvenience of waiting in lines, as well as unlocking new streams of revenue for these super popular merchants and event organizers. Serving over 20k+ businesses - we are a team of 8, backed by Tier-1 investors including Lightspeed Venture Partners, BAM & StartX (S20 batch) and are started by a team of ForbesU30 founders, both being ex-Google & ex-Stanford engineers.",https://www.linkedin.com/company/sleektext,,https://twitter.com/SleekText,https://www.facebook.com/sleektext/,"12,783"
Lavu,https://www.crunchbase.com/organization/lavu,https://www.lavu.com/,"Apps, iOS, Point of Sale, Restaurants, Software","Apps, Commerce and Shopping, Food and Beverage, Mobile, Platforms, Software","Lavu is a computer specializes in the fields of the business management system, restaurant software, and point of sale.","Lavu is a computer software company that specializes in the fields of the business management system, restaurant software, and point of sale. Its cloud-based iPad point of sale system offers all the functionality of a traditional system, with all the customizability and flexibility modern technology provides. It was founded in 2010 and headquartered in Albuquerque, New Mexico.",https://www.linkedin.com/company/lavu-inc/,,https://twitter.com/lavuinc,https://www.facebook.com/pg/lavuinc,"12,935"
Talech,https://www.crunchbase.com/organization/talech,https://www.talech.com,"Analytics, E-Commerce, Internet, Point of Sale, Small and Medium Businesses","Commerce and Shopping, Data and Analytics, Internet Services, Other",Talech is a POS system that provides merchants with analytics and insights.,Talech is a simple yet powerful point of sale system that combines rich analytics and deep insights to help merchants run their businesses better. The product consists of an iPad based POS experience combined with a web-based dashboard. It focuses on retail and restaurant segments.,http://www.linkedin.com/company/talech,,http://twitter.com/mytalech,https://www.facebook.com/mytalech,"13,066"
Qu,https://www.crunchbase.com/organization/gusto-3,https://www.qubeyond.com/,"Hospitality, Information Technology, Point of Sale, Restaurants, SaaS, Software","Commerce and Shopping, Food and Beverage, Information Technology, Software, Travel and Tourism",Qu is reimagining the modern restaurant POS platform.,"Qu, formerly Gusto, is going beyond traditional Point of Sale (POS) technology with a singular focus on fast casual and quick service restaurant chains. Leveraging an API-first approach and a core suite of omni-channel ordering solutions, Qu delivers an enterprise-scale, cloud-based POS solution that’s fast, flexible, and forward-thinking, making it easy to implement, easy to use, and easy to afford. Improved guest experience, best-in-class integrations, centralized enterprise management, and payment processor choice are some of the reasons leading restaurant chains choose Qu to help them move faster, stay nimble, and increase profits. Learn more at qubeyond.com or email sales@qubeyond.com.",https://www.linkedin.com/company/qubeyond/,,https://twitter.com/qubeyond/,https://www.facebook.com/qubeyond,"13,430"
Bytemark,https://www.crunchbase.com/organization/bytemark-inc,http://www.bytemark.co,"Developer APIs, Finance, Internet, Mobile, Payments, Point of Sale, Software, Ticketing, Tourism","Commerce and Shopping, Events, Financial Services, Internet Services, Media and Entertainment, Mobile, Payments, Software, Travel and Tourism","Bytemark provides global transit fare collection, ticketing, and PaaS solutions. Plan, Book & Pay!™ | Siemens Mobility","Founded in 2011, Bytemark provides comprehensive Mobility as a Service (MaaS) and Payments as a Service (PaaS) solutions to cities and agencies around the globe. Bytemark helps partners deliver a seamless and enjoyable travel experience for their riders. The company’s core offerings include tools for travel planning, parking management, fare payments, and more. Bytemark holds patents for distributing electronic tickets with visual display as well as electronic ticket validation using proximity detection. Learn more at Bytemark.co.",http://www.linkedin.com/company/bytemark-inc-,,http://twitter.com/bytemarkinc,http://www.facebook.com/bytemarkinc,"13,943"
SingleOps,https://www.crunchbase.com/organization/singleops-llc,http://singleops.com,"CRM, Information Technology, ISP, Point of Sale, Software","Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","SingleOps is an all-in-one business platform for outdoor service industries, including tree care, lawn care, and full-service landscaping.","SingleOps is an all-in-one business platform for outdoor service industries, including tree care, lawn care, and full-service landscaping. The company serves hundreds of clients who have collectively processed over $1 billion in revenue through the platform, and use it daily to operate their businesses and interact with clients. It helps to grow revenue, increase profitability, and improve customer satisfaction. Their cloud software product integrates sales, the back office, and your field workforce all in one platform. SingleOps was founded in 2013 and is headquartered in Atlanta, Georgia.",https://www.linkedin.com/company/singleops/,,https://www.twitter.com/single_ops,https://www.facebook.com/singleops1,"14,676"
Vengo,https://www.crunchbase.com/organization/vengo-labs,https://vengolabs.com/,"Brand Marketing, Digital Media, News, Point of Sale, Retail","Commerce and Shopping, Content and Publishing, Media and Entertainment, Sales and Marketing",Vengo is a software and media company that engages consumers and collects data by combining interactive digital media.,"Vengo is a software and media company that engages consumers and collects data by combining interactive digital media with point-of-purchase.  Selected from 270 companies as ""NYC Next Idea 2012,"" Vengo's next-generation vending machines enable brands such as Trident, Snapple, Dentyne, and Sour Patch Kids to re-engage consumers while generating attractive unit economics (expect six-month payback on new units). Vengo already has established partnerships with Mondelez (one of the largest snack food companies), Snapple, Verizon, CC Vending (second-largest NYC vending machine provider), and Creative Mobile Technologies (NYC taxis).  Vengo was founded in 2012 and headquartered in Long Island City, New York.",https://www.linkedin.com/company/vengo-labs/,,http://twitter.com/VengoLabs,http://www.facebook.com/TaxiTreats,"14,714"
Supreme Golf,https://www.crunchbase.com/organization/supreme-golf,https://supremegolf.com/,"E-Commerce Platforms, Golf, Internet, Point of Sale, Software, Sports, Subscription Service, Travel","Commerce and Shopping, Internet Services, Other, Software, Sports, Travel and Tourism",Supreme Golf is a technology firm,"Supreme Golf, in association with CBS Sports Digital, offers the world’s largest inventory of golf tee times, providing golfers the ability to search and book over 16 million tee times at more than 12,000 golf courses in 41 countries. Supreme Golf owned booking sites include SupremeGolf.com and GolfBook.com, which are also available on iOS and Android. Partner sites include Golf Digest, CBSSports and GOLF.com. Supreme Golf works closely with golf course owners and operators to provide technology, marketing and business solutions to help manage their facilities. Leading management companies such as Century Golf Partners, Arnold Palmer Golf Management, American Golf Corporation and Hampton Golf, and golf courses such as the world-famous PGA West, The Citrus Club, Walt Disney World Golf and PGA Member owned Trophy Club of Apalachee are just a few of the courses who leverage Supreme Golf’s software and business solutions.  Our business solution's team is made up of the brightest, and most knowledgeable minds in golf who are experts in advanced revenue and cost management. Previously only available to large golf course management companies, Supreme Golf offers business solutions to all golf course owners to help maximize revenue Our advisors and investors include business leaders such as Carl Sparks: former CEO of Travelocity, Sam Gilliland: former CEO of Sabre, Jeff Gerttula: EVP of CBS Interactive, Jay Bockhaus: board member for Venture for America and former advisor to the Board of Nicklaus Companies, Jeff Hinson: board member of Live Nation and Windstream, and others. CBS Interactive is an equity investor and member of the board of Supreme Golf. Supreme Golf is an equity owner and member of the board of foreUP Software.",https://www.linkedin.com/company/supremegolf,,https://twitter.com/supremegolf,https://www.facebook.com/SupremeGolf,"16,294"
Menusifu,https://www.crunchbase.com/organization/menusifu,http://www.menusifu.com,"Information Technology, Point of Sale, Restaurants, Software","Commerce and Shopping, Food and Beverage, Information Technology, Software",Menusifu is a data-driven company that strives to build all-around POS cloud platform to simplify restaurant operations.,"Founded in 2013, Menusifu is a data-driven company that strives to utilize the most advanced technology to remedy the current chaotic restaurants’ management situation. It builds an ecosystem that provides a comprehensive operation management system, ranging from the supply chain, sufficient organization, to customers’ management. Currently Menusifu is expanding its business footprint in North America. Its mission is building smart restaurants.",https://www.linkedin.com/company/menusifu,,https://twitter.com/menusifu,https://www.facebook.com/menu.sifu,"18,062"
Meadow,https://www.crunchbase.com/organization/meadow,https://getmeadow.com,"Cannabis, Compliance, Delivery, Mobile, Point of Sale, Retail Technology, SaaS, Software","Administrative Services, Commerce and Shopping, Community and Lifestyle, Food and Beverage, Hardware, Health Care, Mobile, Professional Services, Software",Meadow builds software for California’s legal cannabis industry.,"Meadow builds software for California’s cannabis industry. In 2014 the company launched getmeadow.com, an on-demand directory connecting patients to dispensaries for quick and reliable cannabis delivery. The following year, Meadow became the first Y-Combinator company to operate in the cannabis space and launched Meadow MD (https://meadowmd.com), a telemedicine platform connecting patients to physicians. In 2016 the company launched Meadow Platform, a SaaS platform built from the ground up for California cannabis retail and delivery (https://getmeadow.com/dispensary-software). The suite powers a POS system, inventory management, analytics, online and mobile ordering, delivery tracking and logistics, compliance, and patient intake. These tools help dispensaries work faster, serve more patients, remain compliant with state and local regulations, and earn more revenue per patient. Meadow is born and raised in San Francisco and serves patients, customers. and dispensaries across California.",https://www.linkedin.com/company/getmeadow/,,https://twitter.com/meadow,http://www.facebook.com/getmeadow,"18,251"
eatOS - Restaurant Management Made Simple,https://www.crunchbase.com/organization/poslabs-inc,https://www.eatOS.com,"Information Technology, Mobile Apps, Payments, Point of Sale, Restaurants, SaaS","Apps, Commerce and Shopping, Financial Services, Food and Beverage, Information Technology, Mobile, Payments, Software",Cloud-based technology solution exclusively for restaurants.,"At eatOS, we have built a cloud-based technology solution exclusively for restaurants. Our team's collective experience in the restaurant industry helps us understand the complexity of running restaurants, which has allowed us to build a customizable solution to help restaurants react and adapt to the industry's needs. We offer a cloud-based platform that works across iOS & Android, adding flexibility for restaurants. Our restaurant management solutions provide the ability to simplify operation for restaurants of all sizes. Our approach to guest engagement improves the guest experience by reducing friction. Our technology gives restaurants the ability to engage with the community in new and innovative ways.",https://www.linkedin.com/company/myeatOS,,https://www.twitter.com/myeatOS,https://www.facebook.com/myeatOS,"19,339"
TRAY,https://www.crunchbase.com/organization/vendsy-inc,http://www.tray.com,"Loyalty Programs, Mobile, Mobile Payments, Point of Sale, SaaS, Software","Commerce and Shopping, Financial Services, Mobile, Payments, Sales and Marketing, Software",TRAY® is a complete point of sale system for the enterprise that specializes in self-service ordering.,"TRAY® is a complete point of sale system for the enterprise that specializes in self-service ordering. We’re changing the way people order and pay in hospitality venues such as entertainment centers, hotels, restaurants, and more. As a growing number of companies seek to introduce self-service into their operations to improve their customer experience and reduce operating costs, TRAY is the only enterprise-class system that offers a full turnkey solution, as well as a platform solution that can integrate with existing legacy point of sale systems, including Micros and Infogenesis.   Unlike other POS companies, TRAY was built with self-service at its core, not an afterthought. TRAY uses a modern, cloud-based backend combined with inexpensive Android terminals. Thanks to our scalable, PCI Level-1 compliant architecture, our solution is flexible, scalable, secure, and low-cost, and we have already won engagements with major global brands, including hotel groups, quick serve chains and entertainment chains. ",https://www.linkedin.com/company/3748145/,,,,"19,367"
Beachy,https://www.crunchbase.com/organization/beachy-2,https://www.beachyapp.com/en,"E-Commerce, Logistics, Mapping Services, Mobile Payments, Point of Sale, SaaS, Travel","Commerce and Shopping, Financial Services, Mobile, Navigation and Mapping, Payments, Software, Transportation, Travel and Tourism",Beachy connects the beachfront ecosystem,"Beachy is a commerce platform connecting the beachfront industry. Beachy maps beaches and powers beachfront commerce. Beachy is a two part solution.  The 1st part of the solution is the standardized mapping of beachfronts, which provides the ability to geolocate vacationers. By establishing physical addresses in the sand, Beachy becomes the gatekeepers to the connection that exists between service provider and guest, solving for the last mile logistical challenges. The 2nd part of the solution is the Beach Management System. The BMS is the 1st ever SaaS solution designed from the ground up specifically for beachfront vendors and their unique needs. It is comprised of a backside management portal and a mobile attendant application.",https://www.linkedin.com/company/beachy-app,,https://twitter.com/beachyapp,https://www.facebook.com/beachyapp/,"19,986"
Gas Pos,https://www.crunchbase.com/organization/gas-pos-inc,http://www.gaspos.co,"Mobile Payments, Oil and Gas, Point of Sale, Software","Commerce and Shopping, Energy, Financial Services, Mobile, Natural Resources, Payments, Software",Gas Pos is a free EMV-Compliant point of sale system.,"Gas Pos is a free EMV-Compliant point of sale system for gas stations, truck stops, and convenience stores that includes a free pos terminal, free fuel controller, free cash drawer, free scanner, free customer display & free pin pad. It also includes free installation and free helpdesk. Gas Pos was founded in 2015 and is headquartered in North Little Rock, Arkansas.",https://www.linkedin.com/company/gas-pos/,,http://twitter.com/Gas_PosAL,https://www.facebook.com/Gasposinc/,"22,215"
